이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,홈런,볼넷,고4,사구,삼진,보크,폭투,WHIP,ERA+,FIP+
박희수,336.0,0.0,0.0,1.0,21.0,20.0,78.0,58.0,374.0,134.0,123.0,1565.0,311.0,24.0,156.0,13.0,24.0,368.0,1.0,10.0,1.25,157.1,127.6
백인식,66.0,0.0,0.0,23.0,7.0,10.0,3.0,4.0,158.1,95.0,89.0,707.0,170.0,14.0,69.0,1.0,20.0,95.0,3.0,11.0,1.51,97.3,96.2
산체스,38.0,0.0,0.0,35.0,13.0,10.0,0.0,1.0,201.0,107.0,93.0,858.0,210.0,26.0,53.0,1.0,8.0,175.0,0.0,16.0,1.31,122.3,111.4
서진용,156.0,0.0,0.0,0.0,6.0,6.0,6.0,25.0,165.1,97.0,92.0,732.0,170.0,25.0,72.0,8.0,4.0,198.0,0.0,15.0,1.46,101.1,112.6
신동훈,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.1,6.0,5.0,61.0,11.0,0.0,7.0,0.0,4.0,10.0,0.0,0.0,1.26,139.1,99.7
신재웅,320.0,1.0,1.0,28.0,21.0,17.0,18.0,34.0,398.0,188.0,168.0,1719.0,402.0,39.0,173.0,2.0,17.0,277.0,3.0,16.0,1.45,121.0,97.3
윤희상,212.0,1.0,0.0,137.0,42.0,44.0,1.0,7.0,800.0,458.0,429.0,3499.0,902.0,97.0,246.0,7.0,42.0,550.0,5.0,23.0,1.44,97.1,99.3
이승진,46.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,54.0,34.0,30.0,242.0,49.0,8.0,27.0,1.0,5.0,47.0,0.0,7.0,1.41,101.8,90.0
이원준,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.2,12.0,12.0,25.0,13.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,3.82,17.8,38.0
장민익,31.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,35.2,41.0,40.0,192.0,59.0,10.0,32.0,0.0,1.0,21.0,0.0,6.0,2.55,47.2,54.6
정영일,90.0,0.0,0.0,0.0,4.0,1.0,0.0,17.0,85.0,63.0,53.0,388.0,85.0,13.0,46.0,2.0,9.0,59.0,0.0,8.0,1.54,91.2,82.1
정재원,131.0,0.0,0.0,6.0,1.0,10.0,0.0,7.0,174.2,181.0,166.0,895.0,248.0,22.0,108.0,2.0,32.0,117.0,0.0,21.0,2.04,56.0,79.4
조성훈,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,19.5,135.5
조영우,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,13.0,18.0,18.0,71.0,28.0,6.0,5.0,0.0,0.0,10.0,0.0,0.0,2.54,41.0,53.2
조한욱,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,12.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,2.14,0,72.2
채병용,449.0,3.0,2.0,176.0,84.0,73.0,22.0,29.0,1333.2,655.0,621.0,5730.0,1325.0,160.0,494.0,21.0,68.0,967.0,4.0,26.0,1.36,106.9,99.8
하재훈,21.0,0.0,0.0,0.0,4.0,1.0,6.0,3.0,20.0,4.0,4.0,81.0,12.0,0.0,10.0,0.0,0.0,24.0,0.0,0.0,1.1,252.9,164.8
