이름,연도,피안타,피2루타,피3루타,피홈런,FIP,K/9,BB/9,삼진율,사구율,PFR,피안타율,피장타율,경기당이닝수,P/PA,뜬공/땅볼,장타/안타
정찬헌,2016,7,2,0,0,3,4.29,4.5,3.38,11.8,8.8,0.88,0.25,0.321,1.3,3.41,1.83
정찬헌,2017,75,14,1,5,25,3.96,8.32,3.65,20.4,8.9,1.33,0.311,0.44,1.0,3.8,1.2
정찬헌,2018,76,14,0,5,24,4.59,6.92,3.32,16.7,8.0,1.14,0.287,0.396,1.0,3.7,1.03
송은범,2015,103,22,2,10,30,5.55,6.14,3.84,14.1,8.8,1.11,0.343,0.53,2.1,3.87,1.19
송은범,2016,159,21,1,13,49,5.09,6.27,3.62,15.1,8.7,1.1,0.321,0.446,4.1,3.87,1.6
송은범,2017,45,4,0,4,23,6.33,3.62,5.55,8.5,13.0,1.02,0.304,0.412,2.9,3.63,1.26
송은범,2018,77,9,1,2,33,3.98,6.92,3.74,17.9,9.7,1.19,0.257,0.313,1.2,3.78,2.86
금민철,2015,25,4,0,2,14,5.98,4.5,5.73,10.6,13.5,1.14,0.284,0.398,3.1,3.96,1.08
금민철,2016,36,4,1,2,9,4.70,5.47,3.08,12.8,7.2,0.95,0.33,0.44,1.9,3.82,1.85
금민철,2017,81,14,1,3,33,4.90,7.0,5.5,15.6,12.3,1.39,0.351,0.459,1.5,3.88,1.46
금민철,2018,212,30,1,19,68,5.82,4.55,3.92,11.0,9.4,0.94,0.335,0.476,5.4,3.74,1.39
윤지웅,2015,47,6,1,3,17,3.37,7.84,2.47,22.0,6.9,1.15,0.211,0.287,0.8,3.9,1.54
윤지웅,2016,48,5,1,4,18,4.66,7.57,3.68,18.9,9.2,1.25,0.284,0.396,0.8,3.97,2.0
윤지웅,2017,39,6,0,4,10,4.91,5.66,2.57,14.3,6.5,0.91,0.287,0.419,1.0,3.59,1.34
윤지웅,2018,9,2,0,0,3,5.41,5.68,4.26,12.1,9.1,1.11,0.333,0.407,0.6,3.73,2.5
권오준,2015,33,9,0,5,9,5.62,7.71,2.89,18.3,6.9,1.18,0.292,0.504,0.9,3.92,1.19
권오준,2016,48,5,2,9,11,5.71,6.8,2.14,18.0,5.7,0.99,0.278,0.486,1.1,3.82,0.69
권오준,2017,57,12,0,11,14,5.29,8.84,2.25,23.6,6.0,1.23,0.281,0.503,1.2,4.01,0.72
권오준,2018,43,7,0,7,12,4.57,10.8,2.49,27.5,6.3,1.48,0.252,0.415,0.9,4.03,0.81
홍성용,2015,39,9,1,3,13,4.32,7.03,2.95,17.8,7.5,1.11,0.258,0.391,0.9,4.05,0.72
홍성용,2016,66,7,3,8,19,6.10,6.41,3.69,14.9,8.6,1.12,0.34,0.531,0.7,3.94,1.16
홍성용,2017,44,8,0,7,17,6.40,5.08,3.92,12.5,9.7,1.0,0.29,0.48,1.1,4.25,0.62
홍성용,2018,49,14,1,7,16,5.39,8.4,3.2,20.8,7.9,1.29,0.278,0.489,0.8,4.03,0.77
배장호,2015,35,11,0,5,10,6.72,2.83,3.14,6.8,7.6,0.66,0.304,0.53,3.2,3.64,0.87
배장호,2016,26,6,0,1,10,5.06,4.18,3.8,10.6,9.6,0.89,0.292,0.393,1.3,3.8,1.36
배장호,2017,70,17,1,9,19,5.08,6.38,2.58,16.4,6.6,1.0,0.275,0.455,0.9,3.64,1.42
배장호,2018,29,9,1,3,10,5.60,4.81,3.7,11.6,8.9,0.95,0.296,0.5,1.0,3.4,1.55
임준혁,2015,125,23,1,11,43,4.85,5.54,3.26,14.2,8.4,0.98,0.28,0.409,4.4,3.87,0.74
임준혁,2016,57,8,1,6,10,5.97,5.29,2.65,11.8,5.9,0.88,0.37,0.552,2.8,3.79,0.67
임준혁,2017,54,10,0,4,29,5.35,5.96,5.76,13.5,13.0,1.3,0.294,0.413,1.1,3.96,0.79
임준혁,2018,12,6,0,0,3,4.52,2.46,3.68,5.7,8.6,0.68,0.387,0.581,1.2,3.49,0.55
장원삼,2015,151,32,2,29,50,5.91,7.05,3.29,17.9,8.3,1.15,0.281,0.509,5.3,4.0,0.7
장원삼,2016,114,12,4,16,23,6.01,6.09,2.64,14.5,6.3,0.97,0.343,0.548,3.0,3.78,0.99
장원삼,2017,96,14,0,8,17,4.63,7.35,2.27,17.7,5.5,1.07,0.342,0.477,1.4,3.7,0.83
장원삼,2018,47,13,1,4,13,4.89,6.4,3.08,15.6,7.5,1.05,0.301,0.474,4.8,3.97,0.82
