이름,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,볼넷,사구,고4,삼진,타율,출루,장타,OPS
이현석,14,14,14,2,3,0,0,1,6,2,0,0,0,9,0.214,0.214,0.429,0.643
허도환,561,1269,1070,98,224,56,2,8,308,84,96,45,0,317,0.209,0.3,0.288,0.588
김성현,908,2885,2549,360,717,122,7,32,949,283,219,39,1,269,0.281,0.345,0.372,0.717
나주환,1363,4002,3504,496,921,173,12,82,1364,454,271,55,5,704,0.263,0.323,0.389,0.712
남태혁,54,127,115,10,26,4,0,2,36,13,9,1,0,41,0.226,0.284,0.313,0.597
로맥,287,1226,1059,184,302,48,0,82,596,195,140,17,3,276,0.285,0.374,0.563,0.937
박승욱,182,407,346,63,82,10,3,7,119,36,40,8,0,114,0.237,0.328,0.344,0.672
박정권,1290,4663,4118,606,1128,208,17,177,1901,674,445,35,30,931,0.274,0.347,0.462,0.809
안상현,20,60,56,8,13,1,0,0,14,2,2,0,0,17,0.232,0.254,0.25,0.504
조성모,3,2,2,1,1,0,0,0,1,0,0,0,0,1,0.5,0.5,0.5,1.0
최정,1551,6312,5308,954,1538,285,8,316,2787,1024,654,234,39,1220,0.29,0.388,0.525,0.913
최항,160,435,385,55,109,21,1,8,156,58,33,11,0,99,0.283,0.355,0.405,0.76
고종욱,580,2071,1935,333,591,107,27,35,857,257,100,16,5,430,0.305,0.342,0.443,0.785
김강민,1437,4811,4279,648,1193,220,22,108,1781,547,364,66,9,856,0.279,0.343,0.416,0.759
김재현,415,467,414,118,110,13,8,2,145,40,25,11,0,103,0.266,0.322,0.35,0.673
노수광,389,1383,1219,224,356,44,13,18,480,128,108,23,2,249,0.292,0.359,0.394,0.752
배영섭,615,2203,1897,298,523,83,7,16,668,164,220,50,5,318,0.276,0.364,0.352,0.716
윤정우,126,164,144,34,33,8,0,3,50,15,8,8,0,38,0.229,0.304,0.347,0.652
정의윤,1160,3810,3457,397,975,164,12,102,1469,481,237,65,14,525,0.282,0.337,0.425,0.762
정진기,220,458,427,74,100,13,2,14,159,54,19,7,0,108,0.234,0.278,0.372,0.651
한동민,451,1631,1404,237,392,80,7,94,768,285,146,60,5,371,0.279,0.368,0.547,0.915
